posCode	x	y	z	wx	wy	wz	AreaFactor	NumberFactor	wx/wz	wy/wz	SymmetricNumber	color	colorcode
1,-2_2,-3_2,-4	0.073544151	-0.124266802	0.989341401	0.071083451	-0.126681046	0.989299725	0.001298031	24	0.071852291	-0.128051229	4	33	0xA79A7B
1,-2_2,-3_2,-5	0.073159844	-0.163103315	0.983638361	0.070758928	-0.158075458	0.984753579	0.002658439	18	0.071854451	-0.160522857	2	34	0x371036
1,-2_2,-3_3,-4	0.098963244	-0.124014084	0.987072773	0.098613111	-0.126376606	0.986935384	0.005589483	20	0.099918508	-0.128049524	2	35	0xB003BA
1,-2_2,-3_3,-5	0.098394881	-0.162655723	0.981428769	0.09816117	-0.157695482	0.982422412	0.011449443	15	0.099917479	-0.160516983	1	36	0x12361A
1,-2_2,-3_4,-4	0.12335612	-0.123444684	0.98447665	0.125991352	-0.12599559	0.983905019	0.00127033	16	0.128052352	-0.128056659	4	37	0x2CD9B1
1,-2_2,-3_4,-5	0.122598239	-0.162352182	0.978837309	0.125418773	-0.157220966	0.97943312	0.002601604	12	0.128052412	-0.160522411	2	38	0x654A58
1,-2_2,-4_2,-5	0.073002697	-0.171314743	0.982330041	0.070631511	-0.168891412	0.983008559	0.00126509	18	0.071852387	-0.171810724	4	39	0x6CD583
1,-2_2,-4_2,-6	0.072703618	-0.195360384	0.97778	0.07027682	-0.195446205	0.978063243	0.005389753	12	0.071853043	-0.199829823	2	25	0xBA75E1
1,-2_2,-4_2,-7	0.072376776	-0.21917376	0.972825652	0.069882193	-0.221739009	0.972508342	0.001211443	6	0.071857679	-0.228007308	4	18	0xB2D808
1,-2_2,-4_3,-5	0.098197959	-0.17095094	0.980114886	0.097992324	-0.168486964	0.980689304	0.005448961	15	0.099921885	-0.171804631	2	40	0x80B44E
1,-2_2,-4_3,-6	0.098084699	-0.194862822	0.975577831	0.097501769	-0.194992611	0.975777112	0.023219092	10	0.099922173	-0.199833147	1	27	0xD0426E
